id,x,y,z,status
274,5.295,6.7440004,-4.34595,Ansiedad
275,5.2920003,6.7440004,-4.31295,Ansiedad
276,5.26095,6.7369504,-4.44495,Ansiedad
277,5.2590003,6.73005,-4.53795,Ansiedad
278,5.3160005,6.7939506,-4.4710503,Ansiedad
279,5.2639503,6.8370004,-4.32705,Ansiedad
280,5.37195,6.8560505,-4.2790504,Ansiedad
281,5.2590003,6.83505,-4.2720003,Ansiedad
282,5.4360003,6.8880005,-4.2390003,Ansiedad
283,5.39295,6.8760004,-4.12605,Ansiedad
284,5.3239503,6.8250003,-4.07805,Ansiedad
285,5.2590003,6.8179502,-4.1740503,Ansiedad
286,5.163,6.8230505,-4.3489504,Ansiedad
287,5.2759504,6.8320503,-4.2990003,Ansiedad
288,5.1610503,6.8299503,-4.38495,Ansiedad
289,5.33295,6.8089504,-4.296,Ansiedad
290,5.35995,6.8320503,-4.2649503,Ansiedad
291,5.2710004,6.7939506,-4.3180504,Ansiedad
292,5.23005,6.7939506,-4.5360003,Ansiedad
293,5.22795,6.7890005,-4.5210004,Ansiedad
294,5.2249503,6.7990503,-4.4089503,Ansiedad
295,5.2210503,6.8280005,-4.41795,Ansiedad
296,5.247,6.8539505,-4.2340503,Ansiedad
297,5.24205,6.885,-4.155,Ansiedad
298,5.1990004,6.88005,-4.296,Ansiedad
299,5.21595,6.8419504,-4.428,Ansiedad
300,5.2849503,6.873,-4.119,Ansiedad
301,5.2369504,6.7969503,-4.464,Ansiedad
302,5.2039504,6.7849503,-4.3060503,Ansiedad
303,5.23995,6.8440504,-4.224,Ansiedad
304,5.21595,6.768,-4.4040003,Ansiedad
305,5.25705,6.8710504,-4.2790504,Ansiedad
306,5.24205,6.9139504,-4.3440003,Ansiedad
307,5.1919503,6.9090004,-4.2120004,Ansiedad
308,5.19,6.83505,-4.1929502,Ansiedad
309,5.26095,6.7849503,-4.21005,Ansiedad
310,5.295,6.7890005,-4.18095,Ansiedad
311,5.2060504,6.9430504,-4.28205,Ansiedad
312,5.2210503,6.8490005,-4.2319503,Ansiedad
313,5.2060504,6.9259505,-4.33395,Ansiedad
314,5.18505,6.9240003,-4.40595,Ansiedad
315,5.25705,6.8320503,-4.1790004,Ansiedad
316,5.0550003,6.8209505,-4.2990003,Ansiedad
317,5.1660004,6.912,-4.38705,Ansiedad
318,5.1270003,6.8899503,-4.3320003,Ansiedad
319,4.9879503,6.8299503,-4.34595,Ansiedad
320,5.10795,6.8110504,-4.45905,Ansiedad
321,5.1340504,6.873,-4.24305,Ansiedad
322,5.2249503,6.8230505,-4.6530004,Ansiedad
323,5.16795,6.7630506,-4.7920504,Ansiedad
324,5.13705,6.7390504,-4.605,Ansiedad
325,5.27295,6.7320004,-4.4880004,Ansiedad
326,5.2210503,6.7060504,-4.59795,Ansiedad
327,5.295,6.708,-4.51695,Ansiedad
328,5.26095,6.8160005,-4.8019505,Ansiedad
329,5.1439505,6.64095,-4.68405,Ansiedad
330,5.1660004,6.6600003,-4.722,Ansiedad
331,5.19,6.68205,-4.7580004,Ansiedad
332,5.2249503,6.6790504,-4.7200503,Ansiedad
333,5.22795,6.7270503,-4.63395,Ansiedad
334,5.1660004,6.7770004,-4.6150503,Ansiedad
335,5.0599504,6.813,-4.60995,Ansiedad
336,5.0269504,6.8280005,-4.65105,Ansiedad
337,5.0940003,6.8089504,-4.61205,Ansiedad
338,5.1220503,6.78,-4.59105,Ansiedad
339,5.10795,6.6910505,-4.524,Ansiedad
340,5.1340504,6.7180505,-4.4490004,Ansiedad
341,5.07495,6.70305,-4.59105,Ansiedad
342,5.07,6.74595,-4.5550504,Ansiedad
343,5.0599504,6.74595,-4.46595,Ansiedad
344,5.2330503,6.7920003,-4.629,Ansiedad
345,5.2180505,6.768,-4.6530004,Ansiedad
346,5.09805,6.71295,-4.6000504,Ansiedad
347,5.13,6.708,-4.64295,Ansiedad
348,5.0550003,6.7270503,-4.545,Ansiedad
349,5.11005,6.68205,-4.5,Ansiedad
350,5.2060504,6.6889505,-4.4089503,Ansiedad
351,5.1540003,6.70095,-4.38705,Ansiedad
352,5.0340004,6.7099504,-4.5280504,Ansiedad
353,5.07705,6.66195,-4.47795,Ansiedad
354,5.1439505,6.6499505,-4.5360003,Ansiedad
355,4.3560004,6.741,-7.1650505,Ansiedad
356,5.25705,6.9739504,-3.012,Ansiedad
357,5.1390004,6.39405,-3.7930503,Ansiedad
358,3.7500002,7.11705,-8.455951,Ansiedad
359,5.16795,6.55905,-3.7020001,Ansiedad
360,4.5259504,6.9280505,-6.42105,Ansiedad
361,4.99095,6.70305,-3.8820002,Ansiedad
362,4.7850003,6.88005,-4.95195,Ansiedad
363,4.51695,3.9490502,7.9270506,Ansiedad
364,6.35295,4.74405,3.9439502,Ansiedad
365,4.7059503,4.02105,7.1530504,Ansiedad
366,4.584,3.9870002,7.4119506,Ansiedad
367,4.99305,3.9060001,7.386,Ansiedad
368,5.019,3.8050501,7.2709503,Ansiedad
369,4.287,3.4750502,7.7430005,Ansiedad
370,4.90695,4.131,7.5130506,Ansiedad
371,4.5690002,4.19595,7.3980002,Ansiedad
372,5.92005,5.2969503,7.0360503,Ansiedad
373,5.0790005,4.0279503,7.1460004,Ansiedad
374,5.06505,3.8460002,7.11,Ansiedad
375,4.6459503,4.09005,7.6009502,Ansiedad
376,4.9020004,3.97305,7.3039503,Ansiedad
377,5.8510504,4.24095,7.4599504,Ansiedad
378,4.833,4.08495,7.1010003,Ansiedad
379,5.4220505,4.5139503,6.01095,Ansiedad
380,5.8170004,5.4889503,7.3740005,Ansiedad
381,5.1660004,3.69495,7.52505,Ansiedad
382,5.9940004,4.6650004,4.809,Ansiedad
383,4.998,4.188,7.5220504,Ansiedad
384,3.9490502,3.6540003,7.7590504,Ansiedad
385,5.046,4.18095,7.31895,Ansiedad
386,6.06405,4.1790004,7.4380503,Ansiedad
387,5.9989505,4.05195,7.5319505,Ansiedad
388,5.4889503,4.2990003,7.4479504,Ansiedad
389,4.47795,3.89595,7.458,Ansiedad
390,4.93095,4.13595,7.3830004,Ansiedad
391,4.93095,4.1400003,7.3399506,Ansiedad
392,4.05705,3.1990502,8.08695,Ansiedad
393,4.74405,4.1860504,7.27995,Ansiedad
394,4.6750503,4.0090504,7.7110505,Ansiedad
395,5.0820003,4.6000504,7.1130004,Ansiedad
396,4.3819504,4.00605,7.83795,Ansiedad
397,4.87605,4.40595,7.3879504,Ansiedad
398,5.367,4.64295,7.8220506,Ansiedad
399,3.90105,3.1710002,7.8499503,Ansiedad
400,4.37505,3.8700001,7.7809505,Ansiedad
401,4.8019505,4.0690503,7.2040505,Ansiedad
402,4.37295,3.6109502,7.8529506,Ansiedad
403,4.164,3.0319502,8.586,Ansiedad
404,4.05195,3.4840503,7.51695,Ansiedad
405,4.19595,3.42405,7.9890003,Ansiedad
406,3.55605,3.0030003,8.01105,Ansiedad
407,4.2000003,3.7210503,8.05395,Ansiedad
408,4.56195,3.83205,6.7819505,Ansiedad
409,4.5430503,3.93195,7.3639503,Ansiedad
410,3.9229503,3.6660001,7.39095,Ansiedad
411,3.8149502,3.4770002,7.0189505,Ansiedad
412,4.1290503,3.5629501,7.965,Ansiedad
413,4.0350003,3.4789503,6.852,Ansiedad
414,4.4370003,3.558,8.14305,Ansiedad
415,4.27005,3.9490502,7.5130506,Ansiedad
416,4.82805,4.4040003,7.25895,Ansiedad
417,4.34205,2.979,8.80395,Ansiedad
418,4.8229504,3.2020502,8.487,Ansiedad
419,5.20095,4.40595,7.965,Ansiedad
420,4.46595,3.6379502,8.887051,Ansiedad
421,3.9780002,2.838,7.5439506,Ansiedad
422,3.4840503,3.3049502,7.45305,Ansiedad
423,3.4150503,3.3720002,7.21605,Ansiedad
424,3.69705,3.5970001,7.3450503,Ansiedad
425,4.99305,3.6520503,8.9740505,Ansiedad
426,3.7600503,3.3070502,8.190001,Ansiedad
427,4.06605,4.0690503,8.181001,Ansiedad
428,4.0729504,3.9799502,7.7449503,Ansiedad
429,3.5080502,3.8100002,8.634001,Ansiedad
430,3.8550003,4.0090504,8.48505,Ansiedad
431,3.9109502,3.86505,8.133,Ansiedad
432,3.5029502,3.7120502,8.254951,Ansiedad
433,3.1609502,3.5779502,8.35305,Ansiedad
434,4.0420504,3.79605,8.17095,Ansiedad
435,3.4050002,3.42705,8.001,Ansiedad
436,3.4650002,3.5130002,8.18595,Ansiedad
437,3.8029501,3.6690001,8.2240505,Ansiedad
438,3.69,3.5440502,7.9129505,Ansiedad
439,3.39105,3.4290001,8.04195,Ansiedad
440,3.21795,3.5989501,8.55,Ansiedad
441,3.73305,3.5080502,7.668,Ansiedad
442,3.561,3.42,7.7400002,Ansiedad
443,5.247,4.63395,8.293051,Ansiedad
444,3.4630501,3.6709502,7.2660003,Ansiedad
445,3.1680002,3.3019502,7.7760005,Ansiedad
446,4.34205,4.308,7.2760506,Ansiedad
447,3.7909503,3.15105,9.793051,Ansiedad
448,5.0170503,4.1740503,9.4789505,Ansiedad
449,3.69495,2.9530501,8.823,Ansiedad
450,3.3000002,2.742,9.297001,Ansiedad
451,3.73095,3.3930001,8.19495,Ansiedad
452,3.15105,3.3670502,8.15205,Ansiedad
453,3.9780002,3.28305,8.46405,Ansiedad
454,3.3240001,3.3379502,8.061001,Ansiedad
455,2.7589502,3.5749502,8.28405,No ansiedad
456,2.775,3.6499503,7.9819503,No ansiedad
457,3.1350002,3.7669501,7.8019505,No ansiedad
458,3.0240002,3.4960501,8.262,No ansiedad
459,3.4750502,3.7759502,8.109,No ansiedad
460,3.4699502,3.7189503,8.599951,No ansiedad
461,3.14895,3.6160502,8.895,No ansiedad
462,2.94105,3.59205,8.79195,No ansiedad
463,3.1060503,3.657,8.466001,No ansiedad
464,3.49095,3.7570503,8.266951,No ansiedad
465,3.693,3.7050002,8.262,No ansiedad
466,3.66405,3.4459503,8.083051,No ansiedad
467,4.584,3.6780002,7.93695,No ansiedad
468,5.07495,3.82905,8.38395,No ansiedad
469,4.66305,3.4030502,8.911051,No ansiedad
470,3.8719501,3.384,7.9290004,No ansiedad
471,3.4360502,2.9239502,8.599951,No ansiedad
472,3.5749502,3.1320002,8.28405,No ansiedad
473,3.6499503,3.42195,8.02305,No ansiedad
474,3.7789502,2.95005,8.95905,No ansiedad
475,3.01005,3.5440502,8.380051,No ansiedad
476,3.11805,3.5029502,8.049001,No ansiedad
477,3.3409503,3.5029502,7.9129505,No ansiedad
478,2.9190001,3.5440502,8.442,No ansiedad
479,2.9839501,3.5730002,8.257951,No ansiedad
480,3.15105,3.6019502,8.089951,No ansiedad
481,3.2689502,3.63,8.16705,No ansiedad
482,3.2710502,3.6330001,8.313001,No ansiedad
483,3.62595,3.4750502,8.533051,No ansiedad
484,3.525,3.5850003,8.65305,No ansiedad
485,3.4510503,3.6780002,8.59305,No ansiedad
486,3.3430502,3.6540003,8.45895,No ansiedad
487,4.13595,3.20895,8.559,No ansiedad
488,4.188,3.11505,8.455951,No ansiedad
489,4.00605,3.1200001,8.25,No ansiedad
490,3.7740002,3.3120003,8.269951,No ansiedad
491,3.5029502,3.3019502,8.48505,No ansiedad
492,3.31695,3.3600001,8.32905,No ansiedad
493,3.8119502,3.2260501,8.502001,No ansiedad
494,3.34995,3.5440502,8.266951,No ansiedad
495,3.3240001,3.489,8.15505,No ansiedad
496,3.4099503,3.5130002,8.401051,No ansiedad
497,3.453,3.4390502,8.47995,No ansiedad
498,3.3120003,3.5629501,8.145,No ansiedad
499,3.55095,3.381,8.50395,No ansiedad
500,3.7500002,3.3790503,8.547,No ansiedad
501,3.6880503,3.3790503,8.478001,No ansiedad
502,3.7669501,3.3930001,8.48295,No ansiedad
503,3.4840503,3.3979502,8.571,No ansiedad
504,3.3739502,3.4000502,8.48505,No ansiedad
505,3.62805,3.3430502,8.545051,No ansiedad
506,3.3670502,3.357,8.30805,No ansiedad
507,3.4510503,3.4440002,8.301001,No ansiedad
508,3.4990501,3.4840503,8.19795,No ansiedad
509,3.5389502,3.4669502,8.076,No ansiedad
510,3.5659502,3.4050002,8.11905,No ansiedad
511,3.97005,3.4630501,8.19795,No ansiedad
512,4.0300503,3.348,8.42805,No ansiedad
513,3.7500002,3.4669502,8.11905,No ansiedad
514,3.5820003,3.4080002,8.121,No ansiedad
515,3.6210003,3.285,8.823,No ansiedad
516,3.3720002,3.2950501,8.835,No ansiedad
517,3.2640002,3.3450003,8.574,No ansiedad
518,3.86505,3.2929502,8.68605,No ansiedad
519,3.2299502,3.5350502,8.19795,No ansiedad
520,3.28305,3.4669502,8.253,No ansiedad
521,3.288,3.55605,8.02995,No ansiedad
522,3.2929502,3.5299501,8.03205,No ansiedad
523,3.3000002,3.5029502,8.262,No ansiedad
524,3.97005,3.42705,8.62905,No ansiedad
525,3.9300003,3.5419502,8.35305,No ansiedad
526,3.62595,3.5320501,8.221951,No ansiedad
527,3.55095,3.2350502,8.602051,No ansiedad
528,3.8170502,3.2760003,8.872951,No ansiedad
529,3.6450002,3.2350502,8.884951,No ansiedad
530,3.3090003,3.3690002,8.061001,No ansiedad
531,3.4990501,3.3000002,8.260051,No ansiedad
532,3.4290001,3.35505,8.128051,No ansiedad
533,3.3720002,3.52005,8.121,No ansiedad
534,3.357,3.456,8.06595,No ansiedad
535,3.3000002,3.4840503,8.145,No ansiedad
536,4.0279503,3.1990502,8.547,No ansiedad
